tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
1419,003,HERMAS Scr. Eccl.,Fragmenta (P. Oxy. 3.404),"Fragmenta (P. Oxy. 3.404), ed. Whittaker, op. cit., 109, 111. Pap: 93: Apocalyp.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1419,004,HERMAS Scr. Eccl.,Fragmentum in F (cod. Paris. gr. 1143),"Fragmentum in F (cod. Paris. gr. 1143), ed. Whittaker, op. cit., 118. Cod: 142: Apocalyp.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1419,005,HERMAS Scr. Eccl.,Pastor,"Pastor, ed. R. Joly, Le Pasteur, (Introduction, texte critique, traduction et notes) [Sources chrétiennes 53 bis. Paris: Éditions du Cerf, 1968]: 76–352. Cod: Apocalyp.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1420,001,HERMIAS Iamb.,Fragmentum,"Fragmentum, ed. J. U. Powell, Collectanea Alexandrina, Oxford: Clarendon Press, 1925 (repr. 1970): 237. Q: 26: Iamb.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1421,001,HERMIPPUS Gramm. et Hist.,Fragmenta,"Fragmenta, ed. F. Wehrli, Hermippos der Kallimacheer [Die Schule des Aristoteles suppl. 1. Basel: Schwabe, 1974]: 11–41. Pap: 6,622: Astrol., Biogr., Nat. Hist.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1421,002,HERMIPPUS Gramm. et Hist.,Fragmentum astrologicum,"Fragmentum astrologicum, ed. W. Kroll, Codices Romani [Catalogus Codicum Astrologorum Graecorum 5.2. Brussels: Lamertin, 1906]: 71. Cod: 170: Astrol.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1421,003,HERMIPPUS Gramm. et Hist.,Titulus,"Titulus, ed. H. Lloyd-Jones and P. Parsons, Supplementum Hellenisticum, Berlin: De Gruyter, 1983: 245. NQ: 2: Astrol. fr. 485.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1422,001,HERMOCREON Epigr.,"Epigrammata, AG: 9.327; 16.11. Q: 48: Epigr","Epigrammata, AG: 9.327; 16.11. Q: 48: Epigr.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1423,001,HERMODORUS Epigr.,"Epigramma, AG: 16.170. Q: 28: Epigr. AG 9.77 Cf. ANTIPATER Epigr. (0114 001)","Epigramma, AG: 16.170. Q: 28: Epigr. AG 9.77 Cf. ANTIPATER Epigr. (0114 001).",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1424,001,HERMOGENES Hist.,"Fragmenta, FGrH #795: 3C:833–834. Q: Hist","Fragmenta, FGrH #795: 3C:833–834. Q: Hist.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1425,001,HERMONAX Epic.,Fragmenta,"Fragmenta, ed. J. U. Powell, Collectanea Alexandrina, Oxford: Clarendon Press, 1925 (repr. 1970): 251–252. Q: 61: Epic. frr. 1–2.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1426,001,HERODES ATTICUS Soph.,Περὶ πολιτείας [Dub.],"Περὶ πολιτείας [Dub.], ed. U. Albini, [Erode Attico]. Περὶ πολιτείας, Florence: Le Monnier, 1968: 29–35. Cod: 1,858: Orat.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1439,001,HERMARCHUS Phil.,Fragmenta,"Fragmenta, ed. K. Krohn, Der Epikureer Hermarchos [Diss. Berlin. 1921]: 17–39. Pap: Epist., Phil.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1439,002,HERMARCHUS Phil.,Fragmenta,"Fragmenta, ed. F. Longo Auricchio, Ermarco. Frammenti [La scuola di Epicuro 6. Naples: Bibliopolis, 1988]: 59–81. Pap: 3,467: Epist., Phil.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1468,001,LUCILLIUS Epigr.,"Epigrammata, AG: 5.68; 6.164, 166; 9.55, 572; 11.10–11, 68–69, 75–81, 83–85, 87– 95, 99–101, 103–107, 111–116, 131–143, 148, 153–155, 159–161, 163–165, 171–172, 174–179, 183–185, 189–192, 194, 196–197, 205–208, 210–212, 214–217, 233–234, 239–240, 245–247, 249, 253–254, 256–259, 264–266, 276–279, 295, 308–315, 388–393, 408. Q: 3,903: Epigr. AG 11.294, 433: Cf. Pseudo-LUCIANUS Soph. (0061 010). AG 9.573: Cf. AMMIANUS Epigr. (0109 001). AG 11.282, 316, 394: Cf. ANONYMI EPIGRAMMATICI (AG) (0138 001). AG 11.195: Cf. DIOSCORIDES Epigr. (0173 001). AG 11.173: Cf. PHILIPPUS Epigr. (1589 001). AG 11.281, 293: Cf. PALLADAS Epigr. (2123 001)","Epigrammata, AG: 5.68; 6.164, 166; 9.55, 572; 11.10–11, 68–69, 75–81, 83–85, 87– 95, 99–101, 103–107, 111–116, 131–143, 148, 153–155, 159–161, 163–165, 171–172, 174–179, 183–185, 189–192, 194, 196–197, 205–208, 210–212, 214–217, 233–234, 239–240, 245–247, 249, 253–254, 256–259, 264–266, 276–279, 295, 308–315, 388–393, 408. Q: 3,903: Epigr. AG 11.294, 433: Cf. Pseudo-LUCIANUS Soph. (0061 010). AG 9.573: Cf. AMMIANUS Epigr. (0109 001). AG 11.282, 316, 394: Cf. ANONYMI EPIGRAMMATICI (AG) (0138 001). AG 11.195: Cf. DIOSCORIDES Epigr. (0173 001). AG 11.173: Cf. PHILIPPUS Epigr. (1589 001). AG 11.281, 293: Cf. PALLADAS Epigr. (2123 001).",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
